path,decision,target_system,enterprise_action
app/bie/generated_game_code/**,DELETE/MOVE,GAME/ARTIFACT,Same policy as generated video outputs; runtime fixtures only when deliberately versioned.
app/bie/tests/test_canonical_pipeline.py,REFACTOR/EXPAND,QA,"Retain as regression seed; replace generation-only success assertions with artifact lineage, build/render/runtime and failure-routing assertions."
app/bie/tests/test_document_ingestor.py,KEEP+EXPAND,BI/QA,"Keep tests; add scanned/digital/mixed PDFs, reading order, tables, figures, equations, corruption and provenance golden cases."
app/bie/tests/test_concept_understanding.py,KEEP+EXPAND,KI/QA,Keep tests; add multi-domain concept/relationship/evidence goldens and false-positive/uncertainty cases.
app/bie/tests/test_lesson_planner.py,REPLACE/EXPAND,PED/QA,Existing tests encode current planner behavior; create adaptive pedagogy goldens and retain only contract-level reusable assertions.
app/bie/tests/test_script_compiler.py,REPLACE/EXPAND,DIR/QA,"Shift from template-output tests to director-plan fidelity, pedagogy, continuity, timing and source-grounding tests."
app/bie/tests/test_scene_dsl.py,REPLACE,DSL/QA,Rebuild around universal Scene IR schema/semantics/versioning rather than fixed layout.
app/bie/tests/test_remotion_generator.py,REPLACE/EXPAND,COMP/QA,Require generated project compile and representative actual render tests.
app/bie/tests/test_game_generator.py,REPLACE/EXPAND,GAME/QA,"Require Game IR validity, runtime interaction, mechanics correctness and learning-objective coverage."
app/bie/**/__pycache__/**,DELETE,HYGIENE,Compiled Python cache must not be version-controlled.
app/bie/tests/__pycache__/**,DELETE,HYGIENE,Compiled test cache must not be version-controlled.
.pytest_cache/**,DELETE,HYGIENE,Local pytest cache must not be version-controlled.
.github/workflows/ci.yml,REFACTOR,INFRA/QA,"Keep CI foundation; expand to Python/Node checks, schema validation, unit/integration/golden tests, Remotion compile/smoke render, game runtime tests and artifact retention."
package.json,REFACTOR,INFRA,Current build points at m301 synthetic runner and has no dependencies; replace with workspace scripts for lint/test/build/render/evaluate/release.
gemini_service.js,REPLACE/MERGE,INFRA/MODEL,Provider-specific service must become one adapter behind provider-neutral Model/Tool Gateway; no Gemini-specific assumptions in domain layers.
server.js,REFACTOR/DECOMPOSE,INFRA/API,"Large monolithic server should be decomposed into API boundary, orchestration service, artifact/model adapters and job control; preserve compatible endpoints only after contract audit."
metadata.json,REFACTOR,INFRA,Move product/runtime metadata into versioned configuration/schema; remove claims not backed by release evidence.
architecture/enterprise_system_spec.md,MERGE/REPLACE,DOCS,Reconcile into authoritative BIE master spec; avoid competing architectural sources of truth.
architecture/docker-compose.yml,KEEP+REFACTOR,INFRA,"Useful local infrastructure seed; align services with final stores/workers/gateways, health checks, secrets and pinned versions."
architecture/api/openapi_spec.json,REFACTOR,INFRA/API,Keep API-contract approach; regenerate against final job/artifact/run/evaluation APIs with versioning and auth/error semantics.
architecture/db/neo4j_schema.cypher,KEEP+REFACTOR,KI/PR,Graph DB schema is useful; align nodes/edges with versioned knowledge/prerequisite/evidence/reasoning contracts and migrations.
architecture/db/postgres_schema.sql,KEEP+REFACTOR,INFRA,Relational state store useful; align with runs/tasks/artifacts/lineage/evaluations/models/config and migration discipline.
architecture/workers/render_worker.py,REFACTOR,QA/INFRA,"Keep worker concept; require idempotent real render execution, sandboxing, logs, artifact hashes, retries and evidence."
